2022-03-11 00:58:17,927; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:58:17,939; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:58:17,951; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:58:19,961; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:58:21,973; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:58:23,984; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:58:26,008; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:58:28,021; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:58:28,451; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:58:40,483; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:59:35,175; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:59:35,176; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:59:35,189; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:59:35,199; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:59:37,210; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:59:38,668; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:59:39,223; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:59:41,235; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:59:43,247; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:59:45,258; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:59:52,234; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-10 23-00-00 - 2022-03-11 00-00-00.xlsx already exists.
2022-03-11 01:02:03,344; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 01:02:03,345; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 01:02:03,360; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 01:02:03,371; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 01:02:05,382; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 01:02:07,405; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 01:02:09,422; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 01:02:11,441; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 01:02:13,456; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 01:03:19,476; INFO; Client connected, address: 10.19.217.103:5005
