2022-02-22 03:06:30,806; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx.
2022-02-22 03:16:30,817; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx already exists.
2022-02-22 03:26:30,827; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx already exists.
2022-02-22 03:36:30,840; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx already exists.
2022-02-22 03:46:30,850; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx already exists.
2022-02-22 03:56:30,861; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx already exists.
2022-02-22 04:06:30,871; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 03-00-00 - 2022-02-22 04-00-00.xlsx does not exist. Starting report build.
2022-02-22 04:06:45,960; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,107; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,108; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,264; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,265; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,409; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,410; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,551; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,552; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,700; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,700; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,850; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:46,851; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,096; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,097; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,334; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,334; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,505; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,506; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,726; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-22 03:00:00, to: 2022-02-22 04:00:00
2022-02-22 04:06:47,728; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-22 03-00-00 - 2022-02-22 04-00-00.xlsx.
2022-02-22 04:06:47,831; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-22 03-00-00 - 2022-02-22 04-00-00.xlsx.
2022-02-22 04:09:14,836; INFO; 10.19.1.101: Input status: 0010
2022-02-22 04:09:14,837; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
